Employee_Name,EmpID,EmpStatusID,DeptID,PerfScoreID,PayRate,PositionID,Position,State,Zip,DOB,Gender,MaritalDesc,CitizenDesc,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30
"Brown, Mia",1103024456,1,1,3,28.5,1,Accountant I,MA,1450,11/24/87,F,Married,,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,1,,Fully Meets,2.04,2,6,0
"LaRotonda, William  ",1106026572,1,1,3,,1,Accountant I,MA,1460,04/26/84,,Divorced,US Citizen,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,1,Website Banner Ads,Fully Meets,5,,4,0
"Steans, Tyrone  ",1302053333,1,1,3,29,1,Accountant I,MA,2703,09-01-1986,M ,Single,US Citizen,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,1,Internet Search,Fully Meets,3.9,5,5,0
"Howard, Estelle",1211050782,1,1,3,21.5,2,Administrative Assistant,MA,2170,09/16/85,F,Married,US Citizen,,Terminated for Cause,Admin Offices,Brandon R. LeBlanc,1,Pay Per Click - Google,Fully Meets,,,4,
"Singh, Nan ",1307059817,1,1,3,16.56,2,Administrative Assistant,MA,2330,05/19/88,F,Single,US Citizen,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,1,Website Banner Ads,Fully Meets,5,3,5,0
"Smith, Leigh Ann",711007713,5,1,3,20.5,2,Administrative Assistant,MA,1844,06/14/87,F,Married,US Citizen,career change,Voluntarily Terminated,Admin Offices,Brandon R. LeBlanc,1,Diversity Job Fair,Fully Meets,3.8,4,4,
"Bunbury, Jessica",1504073368,5,6,3,55,3,Area Sales Manager,VA,21851,06-01-1964,F,Married,Eligible NonCitizen,Another position,Voluntarily Terminated,Sales,John Smith,17,Social Networks - Facebook Twitter etc,Fully Meets,3.14,5,0,
"Carter, Michelle ",1403065721,1,6,3,55,3,Area Sales Manager,VT,5664,05/15/63,F,Single,US Citizen,N/A - still employed,Active,Sales,John Smith,17,Billboard,Fully Meets,5,5,0,2
"Dietrich, Jenna  ",1408069481,1,6,1,55,3,Area Sales Manager,WA,98052,05/14/87,F,Single,US Citizen,N/A - still employed,Active,Sales,John Smith,17,,PIP,2.3,1,0,0
"Digitale, Alfred",1306059197,1,6,3,56,3,Area Sales Manager,NH,3062,09/14/88,M ,Married,US Citizen,N/A - still employed,Active,Sales,John Smith,17,Pay Per Click - Google,Fully Meets,,,0,0
"Friedman, Gerry",1204032843,1,6,3,55.5,3,Area Sales Manager,NY,10171,02/24/69,M ,Single,,N/A - still employed,Active,Sales,John Smith,17,Diversity Job Fair,Fully Meets,3.65,5,0,0
"Gill, Whitney  ",1302053046,4,6,3,55,3,Area Sales Manager,OH,43050,07-10-1971,F,Widowed,US Citizen,attendance,Terminated for Cause,Sales,John Smith,17,Monster.com,Fully Meets,3.97,4,0,
"Gonzales, Ricardo",1411071481,1,6,3,,3,Area Sales Manager,ID,83706,10-12-1954,M ,Married,US Citizen,N/A - still employed,Active,Sales,John Smith,17,Monster.com,Fully Meets,3.98,3,0,0
"Guilianno, Mike",1001167253,5,6,3,55,3,Area Sales Manager,TN,37129,02-09-1969,,Single,US Citizen,relocation out of area,Voluntarily Terminated,Sales,John Smith,17,Newspager/Magazine,Fully Meets,4.5,5,0,
"Leruth, Giovanni",1412071660,1,6,3,55,3,Area Sales Manager,UT,84111,12/27/88,M ,Separated,US Citizen,N/A - still employed,Active,Sales,John Smith,17,Website Banner Ads,Fully Meets,4.53,3,0,0
"Mullaney, Howard",1306057978,1,6,1,55,3,Area Sales Manager,AL,36006,11-02-1975,M ,Single,US Citizen,N/A - still employed,Active,Sales,John Smith,17,Internet Search,PIP,1.93,3,0,0
"Ozark, Travis",812011761,1,6,3,55,3,Area Sales Manager,NC,27229,05/19/82,M ,Single,US Citizen,N/A - still employed,Active,Sales,John Smith,17,,Fully Meets,5,,0,0
"Strong, Caitrin",1411071295,1,6,3,54,3,Area Sales Manager,MT,59102,05-12-1989,F,Married,US Citizen,N/A - still employed,Active,Sales,John Smith,17,Professional Society,Fully Meets,2,4,0,4
"Valentin,Jackie",1312063714,1,6,3,55,3,Area Sales Manager,AZ,85006,05/23/91,F,Married,US Citizen,N/A - still employed,Active,Sales,John Smith,17,Other,Fully Meets,2.81,3,0,0
"Villanueva, Noah",1111030503,1,6,3,,3,Area Sales Manager,ME,4063,07-11-1989,M ,Single,US Citizen,N/A - still employed,Active,Sales,John Smith,17,Website Banner Ads,Fully Meets,1.77,,0,0
"Buck, Edward",1504073313,1,6,3,55,3,Area Sales Manager,MA,2330,07-07-1975,,Married,,N/A - still employed,Active,Sales,Lynn Daneault,21,Employee Referral,Fully Meets,,,0,0
"Costa, Latia",1409070567,1,6,4,55,3,Area Sales Manager,CA,90007,11-08-1988,,Single,US Citizen,N/A - still employed,Active,Sales,Lynn Daneault,21,Other,Exceeds,4.77,5,0,0
"Fraval, Maruk ",1411071302,1,6,3,55,3,Area Sales Manager,CT,6050,08/28/63,M ,Single,US Citizen,N/A - still employed,Active,Sales,Lynn Daneault,21,Monster.com,Fully Meets,1.64,3,0,0
"Givens, Myriam",1203032099,1,6,3,55,3,Area Sales Manager,IN,46204,09/22/89,,Single,US Citizen,N/A - still employed,Active,Sales,Lynn Daneault,21,Pay Per Click - Google,Fully Meets,1.72,5,0,0
Jeremy Prater,1001084890,1,6,1,,3,Area Sales Manager,NV,89139,05-09-1974,M ,Married,US Citizen,N/A - still employed,Active,Sales,Lynn Daneault,21,Website Banner Ads,PIP,1.81,2,0,0
"Khemmich, Bartholemew",1104025008,1,6,3,55,3,Area Sales Manager,CO,80820,11/27/79,M ,Single,US Citizen,N/A - still employed,Active,Sales,Lynn Daneault,21,Pay Per Click - Google,Fully Meets,2.19,5,0,0
"Martins, Joseph",1209048771,1,6,3,56,3,Area Sales Manager,TX,78207,06-11-1970,M ,Single,Eligible NonCitizen,N/A - still employed,Active,Sales,Lynn Daneault,21,Employee Referral,Fully Meets,2.94,,0,2
